,Year,Month,Day,Time,Hour,Minute,Second,Declination,Right Ascension,Velocity,R,Distance,X,Y,Z,Vx,Vy,Vz,True Anomaly,Eccentric Anomaly,Mean Anomaly,Hours Past Perigee
23,2023,10,5,7:51:30 PM,19,51,30,41.52584253843654,232.96203388174445,7760.9017194160515,6752333.0,516489.00000000006,-3044957.7375145946,-4035229.3474079687,4476511.748388076,6134.249304774637,-4750.910355285462,-177.29004864422603,335.14371784510325,-25.311470921685068,-0.43423982438748393,-0.02862367331358012
24,2023,10,5,7:51:40 PM,19,51,40,41.50575147313637,233.84112289091144,7800.161876450084,6752333.0,466610.0,-2983615.244466848,-4082738.4509608233,4474738.847901634,6203.131519497047,-4722.877266111876,-241.07048739148303,335.8022596366063,-24.679457607920902,-0.42338516132851656,-0.02790816931813906
25,2023,10,5,7:51:50 PM,19,51,50,41.47844260518961,234.7239945875225,7670.071417081789,6752333.0,423167.0,-2921583.9292718777,-4129967.223621942,4472328.143027719,6147.789896180853,-4577.97263386976,-277.2029925726354,336.4641328257395,-24.045260178675885,-0.41249388591082153,-0.027190251955391265
26,2023,10,5,7:52:00 PM,19,52,0,41.447054802742166,235.59147750424788,7774.580527603809,6752333.0,389378.0,-2860106.030310069,-4175746.9499606397,4469556.113101993,6254.0042274321895,-4604.0042557666075,-366.9854443157092,337.1149645984699,-23.42271461624119,-0.40180356685732044,-0.026485580980920003
27,2023,10,5,7:52:10 PM,19,52,10,41.40552423988426,236.46956528035253,7750.945823783771,6752333.0,365243.0,-2797565.9880357473,-4221786.992518306,4465886.258658836,6290.552024504868,-4511.413010031078,-391.49590438613666,337.7746660627881,-22.79286153885504,-0.3909886044650203,-0.025772693923975125
28,2023,10,5,7:52:20 PM,19,52,20,41.36124914985505,237.34415604542224,7742.226391149725,6752333.0,353980.0,-2734660.4677906986,-4266901.122618617,4461971.299614974,6362.505599020375,-4371.565177989285,-591.6163358471356,338.43235785988946,-22.16620832864869,-0.38022940390293386,-0.02506348250505736
29,2023,10,5,7:52:30 PM,19,52,30,41.30639506866116,238.21594237425106,8466.404891622125,6750724.0,357198.0,-2671035.411800495,-4310616.774398509,4456055.136256503,6942.251267043687,-4812.024071427807,-574.0936074480414,339.08924984065845,-21.575613295492502,-0.37009002504931876,-0.024395127712131863
30,2023,10,5,7:52:40 PM,19,52,40,41.241563106963575,239.16815892480435,6975.451158869654,6750724.0,376506.0,-2601612.899130058,-4358737.0151127875,4450314.2001820225,5733.677213299554,-3933.612464736495,-555.4794872316531,339.8078273212633,-20.895428088083648,-0.3584134068774881,-0.023625443115770074
31,2023,10,5,7:52:50 PM,19,52,50,41.17889438730625,239.95070820185745,7814.115559223737,6750724.0,402250.0,-2544276.1269970625,-4398073.139760152,4444759.405309706,6498.935216468572,-4296.95154759381,-600.3752348975279,340.39985602560864,-20.336579865095725,-0.34882042267421187,-0.0229931048765857
32,2023,10,5,7:53:00 PM,19,53,0,41.11122792390266,240.82682613361564,7696.799335545546,6750724.0,442475.0,-2479286.7748323767,-4441042.6552360905,4438755.652960731,6408.988620328996,-4205.178110706154,-694.3068006188608,341.0630425572356,-19.71238318273578,-0.3381063783226734,-0.022286870007828034
33,2023,10,5,7:53:10 PM,19,53,10,41.03306157223372,241.68712882063278,7706.750685047275,6750724.0,487527.0,-2415196.888629087,-4483094.436343152,4431812.584954542,6447.0739911925975,-4154.259924632124,-755.8885844885372,341.71629967613677,-19.09959243034521,-0.3275887972904069,-0.021593585360475964
34,2023,10,5,7:53:20 PM,19,53,20,40.94806760851379,242.54635620760547,7775.555054937714,6750724.0,539015.0,-2350726.148717161,-4524637.035589473,4424253.699109657,6535.392269604747,-4131.9371438125145,-821.5836745824665,342.37040186488264,-18.4882643449873,-0.31709697736805553,-0.02090199880149118
35,2023,10,5,7:53:30 PM,19,53,30,40.85581062520809,243.41092080273933,7705.235616471001,6750724.0,595330.0,-2285372.2260211133,-4565956.4070275985,4416037.862363832,6497.519310358027,-4045.418785630446,-887.4038346356713,343.0303438502231,-17.87400263264277,-0.30655544979634297,-0.020207135676340433
36,2023,10,5,7:53:40 PM,19,53,40,40.75630669443035,244.26485203349029,7748.656597826225,6750724.0,653254.0,-2220397.032917533,-4606410.594883903,4407163.824017475,6563.734238623595,-4007.1732413168997,-949.5443801266141,343.68431726445374,-17.26806471779019,-0.29615737810776105,-0.019521728695244267
37,2023,10,5,7:53:50 PM,19,53,50,40.6499996601454,245.12095917370107,7758.425747274994,6750724.0,714396.0,-2154759.690531297,-4646482.327297072,4397668.380216209,6605.861452116538,-3944.2910557419063,-999.1659616974182,344.34197609818233,-16.661797732799123,-0.2857542445761284,-0.018835988053959165
38,2023,10,5,7:54:00 PM,19,54,0,40.53831975096109,245.97558812031798,7753.80559526087,6750724.0,777147.0,-2088701.0760101317,-4685925.237854491,4387676.720599235,6622.180531473923,-3889.0173867443577,-1069.4718244379387,345.00046470517555,-16.058218438840196,-0.2753977915946705,-0.018153324442332003
